top - 12:19:14 up 8 days, 49 min,  1 user,  load average: 2.24, 2.37, 2.59
Tasks: 508 total,   1 running, 505 sleeping,   0 stopped,   2 zombie
%Cpu(s): 22.6 us, 12.8 sy,  0.0 ni, 58.5 id,  5.5 wa,  0.0 hi,  0.6 si,  0.0 st
MiB Mem :  15889.4 total,    190.1 free,  13454.5 used,   2244.8 buff/cache
MiB Swap:   2048.0 total,      0.0 free,   2048.0 used.    835.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 250800 root      20   0  747904  13104    928 S   0.0   0.1   1:19.03 kube-pr+
 250962 root      20   0  113380    196      0 S   0.0   0.0   0:17.06 contain+
 251063 root      20   0  113380    540      0 S   0.0   0.0   0:20.52 contain+
 251179 1001      20   0  540272   3364      0 S   0.0   0.0   0:47.85 metrics+
 251186 root      20   0  731008   6048   1628 S   0.0   0.0   1:47.07 brigade+
 252468 root      20   0  113380    168      0 S   0.0   0.0   0:15.87 contain+
 252490 1001      20   0  739348   8224      0 S   0.0   0.1   1:13.06 dashboa+
 253243 root      20   0  113380     28      0 S   0.0   0.0   0:20.34 contain+
 253265 root      20   0    5980    440      0 S   0.0   0.0   0:00.10 nginx
 253313 systemd+  20   0    6436    884      0 S   0.0   0.0   0:00.00 nginx
 253314 systemd+  20   0    6436    860      0 S   0.0   0.0   0:00.00 nginx
 253315 systemd+  20   0    6436    660      4 S   0.0   0.0   0:09.83 nginx
 253316 systemd+  20   0    6436    856    200 S   0.0   0.0   0:06.30 nginx
 253522 root      20   0  113380    504      0 S   0.0   0.0   0:17.36 contain+
